;layers;neurons;optimizer;learning_rate;epochs;batch_size;accuracy;precision;recall;f1_score
224;1;80;adam;0.001;50;16;0.4;0.44;0.4;0.3824
225;1;80;adam;0.001;100;16;0.4;0.48;0.4;0.4091
226;1;80;adam;0.001;150;16;0.36;0.32;0.36;0.3333
227;1;80;adam;0.001;200;16;0.36;0.3;0.36;0.3224
228;1;80;adam;0.005;50;16;0.4;0.48;0.4;0.4067
229;1;80;adam;0.005;100;16;0.36;0.49;0.36;0.3933
230;1;80;adam;0.005;150;16;0.28;0.5;0.28;0.3433
231;1;80;adam;0.005;200;16;0.4;0.54;0.4;0.4233
232;1;80;adam;0.0001;50;16;0.2;0.0435;0.2;0.0714
233;1;80;adam;0.0001;100;16;0.2;0.0521;0.2;0.0827
234;1;80;adam;0.0001;150;16;0.16;0.0679;0.16;0.095
235;1;80;adam;0.0001;200;16;0.28;0.26;0.28;0.2558
236;1;80;adam;0.0005;50;16;0.32;0.295;0.32;0.2923
237;1;80;adam;0.0005;100;16;0.4;0.46;0.4;0.3824
238;1;80;adam;0.0005;150;16;0.32;0.4;0.32;0.3267
239;1;80;adam;0.0005;200;16;0.36;0.34;0.36;0.3358
240;1;80;rmsprop;0.01;50;16;0.24;0.18;0.24;0.2
241;1;80;rmsprop;0.01;100;16;0.32;0.52;0.32;0.37
242;1;80;rmsprop;0.01;150;16;0.32;0.48;0.32;0.37
243;1;80;rmsprop;0.01;200;16;0.32;0.44;0.32;0.3433
244;1;80;rmsprop;0.05;50;16;0.2;0.14;0.2;0.1631
245;1;80;rmsprop;0.05;100;16;0.24;0.188;0.24;0.1893
246;1;80;rmsprop;0.05;150;16;0.2;0.0455;0.2;0.0741
247;1;80;rmsprop;0.05;200;16;0.16;0.0442;0.16;0.0686
248;1;80;rmsprop;0.001;50;16;0.28;0.2;0.28;0.2133
249;1;80;rmsprop;0.001;100;16;0.4;0.3267;0.4;0.339
250;1;80;rmsprop;0.001;150;16;0.44;0.459;0.44;0.4107
251;1;80;rmsprop;0.001;200;16;0.36;0.36;0.36;0.3467
252;1;80;rmsprop;0.005;50;16;0.36;0.31;0.36;0.3106
253;1;80;rmsprop;0.005;100;16;0.2;0.135;0.2;0.159
254;1;80;rmsprop;0.005;150;16;0.28;0.36;0.28;0.31
255;1;80;rmsprop;0.005;200;16;0.32;0.52;0.32;0.37
256;1;80;rmsprop;0.0001;50;16;0.2;0.04;0.2;0.0667
257;1;80;rmsprop;0.0001;100;16;0.2;0.04;0.2;0.0667
258;1;80;rmsprop;0.0001;150;16;0.2;0.0455;0.2;0.0741
259;1;80;rmsprop;0.0001;200;16;0.16;0.0421;0.16;0.0667
260;1;80;rmsprop;0.0005;50;16;0.12;0.0333;0.12;0.0522
261;1;80;rmsprop;0.0005;100;16;0.36;0.3733;0.36;0.34
262;1;80;rmsprop;0.0005;150;16;0.36;0.319;0.36;0.3067
263;1;80;rmsprop;0.0005;200;16;0.28;0.34;0.28;0.2933
264;1;80;sgd;0.01;50;16;0.2;0.04;0.2;0.0667
265;1;80;sgd;0.01;100;16;0.2;0.04;0.2;0.0667
266;1;80;sgd;0.01;150;16;0.2;0.04;0.2;0.0667
267;1;80;sgd;0.01;200;16;0.2;0.04;0.2;0.0667
268;1;80;sgd;0.05;50;16;0.2;0.04;0.2;0.0667
269;1;80;sgd;0.05;100;16;0.2;0.04;0.2;0.0667
270;1;80;sgd;0.05;150;16;0.2;0.04;0.2;0.0667
271;1;80;sgd;0.05;200;16;0.2;0.0455;0.2;0.0741
272;1;80;sgd;0.001;50;16;0.2;0.04;0.2;0.0667
273;1;80;sgd;0.001;100;16;0.2;0.04;0.2;0.0667
274;1;80;sgd;0.001;150;16;0.2;0.04;0.2;0.0667
275;1;80;sgd;0.001;200;16;0.2;0.04;0.2;0.0667
276;1;80;sgd;0.005;50;16;0.2;0.04;0.2;0.0667
277;1;80;sgd;0.005;100;16;0.2;0.04;0.2;0.0667
278;1;80;sgd;0.005;150;16;0.2;0.04;0.2;0.0667
279;1;80;sgd;0.005;200;16;0.2;0.04;0.2;0.0667
280;1;80;sgd;0.0001;50;16;0.2;0.04;0.2;0.0667
281;1;80;sgd;0.0001;100;16;0.2;0.04;0.2;0.0667
282;1;80;sgd;0.0001;150;16;0.2;0.04;0.2;0.0667
283;1;80;sgd;0.0001;200;16;0.2;0.04;0.2;0.0667
284;1;80;sgd;0.0005;50;16;0.2;0.04;0.2;0.0667
285;1;80;sgd;0.0005;100;16;0.2;0.04;0.2;0.0667
286;1;80;sgd;0.0005;150;16;0.2;0.04;0.2;0.0667
287;1;80;sgd;0.0005;200;16;0.2;0.04;0.2;0.0667
288;2;32;adam;0.01;50;16;0.32;0.4633;0.32;0.3467
289;2;32;adam;0.01;100;16;0.32;0.4;0.32;0.3267
290;2;32;adam;0.01;150;16;0.28;0.38;0.28;0.3024
291;2;32;adam;0.01;200;16;0.32;0.36;0.32;0.3233
292;2;32;adam;0.05;50;16;0.2;0.1012;0.2;0.1264
293;2;32;adam;0.05;100;16;0.2;0.1262;0.2;0.1467
294;2;32;adam;0.05;150;16;0.28;0.41;0.28;0.3133
295;2;32;adam;0.05;200;16;0.36;0.41;0.36;0.376
